,Name,Val
0,,60
1,Angel Correa,82
2,,74
3,Aitor Fernandez,75
4,Antoine Griezmann,87
5,Andres Guardado,78
6,Alexander Isak,79
7,Adnan Januzaj,80
8,Pol Lozano,70
9,,75
10,Abdallahi Mahmoud,62
11,Aïssa Mandi,79
12,,76
13,Allan Nyom,75
14,,71
15,,74
16,Aaron Escandell,67
17,,60
18,Adrian Lopez,75
19,Adrian Marin,73
20,,68
21,Aihen Muñoz,73
22,Aimar Oroz,64
23,Aitor Fernandez,83
24,Aitor Ruibal,67
25,,70
26,Alberto Moreno,77
27,,69
28,Waldo Rubio,62
29,,70
30,Aleix Vidal,77
31,Alex Baena,64
32,Alejandro Pozo Pozo,70
33,Carles Aleña,74
34,,61
35,,63
36,,59
37,,59
38,,59
39,,63
40,Ander Guevara,72
41,,62
42,,65
43,Andres Fernandez,78
44,Ansu Fati,76
45,Antoñito,72
46,,68
47,,67
48,Mauro Arambarri,58
49,Anaitz Arbilla,75
50,Aridane Hernandez,77
51,,64
52,Aritz Elustondo,76
53,,62
54,,65
55,Miguel Atienza,58
56,,63
57,Mikel Balenziaga,74
58,Ander Barrenetxea,73
59,Marc Bartra,80
60,,64
61,Pedro Bigas,72
62,,64
63,,75
64,Borja Iglesias,79
65,Borja Mayoral,76
66,Borja Sainz,65
67,Brais Mendez,75
68,Brandon ,69
69,Bruno Gonzalez,74
70,,62
71,Bryan ,65
72,Burgui,73
73,Carlos Bacca,77
74,,77
75,,72
76,Clement Lenglet,85
77,Victor Camarasa,75
78,Jose Campaña,80
79,Sergio Canales,82
80,Ander Capa,81
81,,65
82,Carlos Fernandez,76
83,,59
84,,60
85,Carlos Neva,76
86,Carlos Soler,79
87,,61
88,Dani Carvajal,86
89,Casemiro,89
90,Chema ,72
91,Adrian Ramos,66
92,,73
93,,64
94,Carlos Clerc,76
95,Coke,75
96,,79
97,,83
98,,67
99,Cristian Tello,78
100,,59
101,Marc Cucurella,81
102,,59
103,Iñigo Cordoba,77
104,Darko Brašanac,76
105,Denis Cheryshev,77
106,Djene,82
107,Dimitri Foulquier,75
108,,66
109,,74
110,Diego Lainez,72
111,Darwin Machis,78
112,Dimitris Siovas,75
113,Damian Suarez,80
